,collocate,raw_frequency,MI
0,FOLDS,1,5.9649710673788805
1,TURBAN,1,7.411890050315206
2,FRINGED,1,7.411890050315206
3,ENDS,1,5.8537454322686555
4,CONTINUOUS,1,6.852274262379783
5,PLAY,1,4.298374741104832
6,WOODS,1,5.662690195505946
7,RE,1,4.144224061277573
8,THINNEST,1,8.798184411435097
9,VEIL,1,5.5023475454307675
10,MYSTERIOUS,1,5.396987029772941
11,HAZE,1,7.006424942207041
12,SUNLIT,1,7.411890050315206
13,SOLITUDE,1,5.579308586566896
14,BLACK,1,3.7292802092148647
15,STAIN,1,6.600959834098877
16,BRILLIANT,1,4.535504534393781
17,SETS,1,6.495599318441051
18,WILL,1,1.790583797483243
19,GIVE,1,3.284755665270114
20,YOU,1,0.07365190024961633
21,HANDKERCHIEF,1,6.7187428697552605
22,SPOTS,1,6.495599318441051
23,AMOUR,1,7.699572122766987
24,RUSHED,1,5.271823886818935
25,THICKER,1,7.188746499000996
26,UNSTEADY,1,6.7187428697552605
27,HAND,1,2.6369770897400198
28,HOT,1,5.16059825170871
29,SPACE,1,5.242836349945683
30,VICTIMS,1,7.699572122766987
31,FLOWERS,1,4.90636411332447
32,GLEAMED,1,6.852274262379783
33,OULD,1,8.798184411435097
34,BE,1,0.8035521000032704
35,TOGETHER,1,3.4849784323933086
36,GREAT,1,2.5657363948845733
37,LIFE,1,2.495565435690191
38,SUDDEN,1,4.183063894593837
39,GESTURE,1,5.16059825170871
40,GLEAM,1,5.9649710673788805
41,CREPT,1,6.090134210332886
42,DRY,1,5.036984295741534
43,LIMITLESS,1,6.7187428697552605
44,SHEET,1,6.600959834098877
45,SHONE,1,5.540087873413614
46,LIMPID,1,8.798184411435097
47,UNWAVING,1,8.798184411435097
48,D,1,4.144224061277573
49,ONLY,1,2.1388904917514586
50,HEAVEN,1,4.088654210122762
51,W,1,8.798184411435097
52,MAN,1,1.7089412564075819
53,CAME,1,2.684502231602865
54,ALSO,1,3.741938606086788
55,FOR,1,0.39214626938502134
56,FLEETING,1,6.400289138636726
57,MINUTE,1,4.737741400888677
58,RECORD,1,6.400289138636726
59,KEEP,1,3.7355893784081293
60,RULED,1,7.411890050315206
61,PAGES,1,5.662690195505946
62,IT,1,0.0676556096957346
63,SILK,1,5.9649710673788805
64,HAT,1,5.013994777516835
65,TRIMMED,1,7.006424942207041
66,PAVILION,1,7.006424942207041
67,BROADEST,1,8.798184411435097
68,CASTLE,1,5.271823886818935
69,WHERE,1,2.394610213500281
70,STANDS,1,5.802452137881105
71,COMPLETELY,1,5.707141958076781
72,MOUNTAIN,1,4.428736558968074
73,HEIGHT,1,5.662690195505946
74,NIGHT,1,2.6956258168215275
75,COMPELLED,1,5.242836349945683
76,HAWK,1,7.411890050315206
77,EAGLE,1,7.411890050315206
78,TINGE,1,7.006424942207041
79,SIGN,1,4.88616140600695
80,WARMER,1,7.006424942207041
81,THEMSELVES,1,4.070796592722756
82,DISPERSING,1,8.105037230875151
83,DOWNY,1,7.411890050315206
84,FEATHERS,1,7.188746499000996
85,M,1,3.8855295256990443
86,ARROWS,1,7.699572122766987
87,SUN,1,4.173211598150825
88,SPOT,1,4.4941193182309265
89,SIGNALLED,1,8.798184411435097
90,VICTORY,1,5.907812653538931
91,ABOVE,1,3.686196623078553
92,GREET,1,6.400289138636726
93,BETWEEN,1,3.30924668527841
94,DEPRESSION,1,6.2332350539735595
95,LIZARD,1,7.188746499000996
96,NOTHINGNESS,1,7.411890050315206
97,BRIGHT,1,4.480696297898786
98,DAY,1,2.349295017288239
99,YEAR,1,4.507724970286705
100,BEEN,1,1.8116179520286693
101,LUSTROUS,1,6.495599318441051
102,WING,1,6.2332350539735595
103,RARER,1,8.105037230875151
104,SPECIES,1,7.006424942207041
105,PRIZED,1,6.7187428697552605
106,FAT,1,6.2332350539735595
107,ACCOUNTING,1,7.699572122766987
108,TIGHT,1,6.495599318441051
109,TAIL,1,6.2332350539735595
110,COAT,1,5.242836349945683
111,BRASS,1,5.6201305810871505
112,BUTTONS,1,7.006424942207041
113,TAKE,1,2.9604539642691563
114,ORDERS,1,5.1346227653054495
115,CLAD,1,5.802452137881105
116,FLAT,1,5.802452137881105
117,CAP,1,6.7187428697552605
118,BROWN,1,4.703839849212995
119,OVERCOAT,1,7.006424942207041
