,collocate,raw_frequency,MI
0,INATTENTIVE,1,11.40087409687948
1,CURRENT,1,8.628285374639699
2,PARD,1,11.40087409687948
3,ASSORTED,1,10.01457973575959
4,MANCHESTER,1,10.30226180821137
5,BRASS,1,8.222820266531535
6,EFFECTS,1,9.321432555199644
7,SEEING,1,6.946526800625972
8,CLERK,1,9.00297882408111
9,DESCENDED,1,7.763287937153094
10,LADDER,1,8.405141823325488
11,REALITIES,1,9.609114627651426
12,GENEVER,1,11.40087409687948
13,PLACING,1,8.91596744709148
14,MAST,1,10.01457973575959
15,DAUGHTER,1,6.452114206501312
16,PIRATES,1,9.609114627651426
17,POOP,1,11.40087409687948
18,FLASH,1,7.789956184235256
19,LAY,1,6.488219211143428
20,UNHEEDING,1,10.707726916319535
21,ATTENDING,1,8.761816767264222
22,GENTLY,1,7.529673085971589
23,UNKNOWN,1,7.687302030175172
24,BORNEO,1,10.01457973575959
25,DELIGHT,1,7.639673981185918
26,EVERYTHING,1,6.613382354097434
27,NEATLY,1,9.098289003885434
28,ARMY,1,8.628285374639699
29,CHINESE,1,9.609114627651426
30,JETTY,1,8.45643511771304
31,BOAT,1,7.529673085971589
32,NURSE,1,8.105037230875151
33,VINCK,1,8.567660752823263
34,CREDIT,1,8.405141823325488
35,STEAMER,1,8.835924739417944
36,BEHELD,1,7.9996767152173245
37,ASK,1,6.510524968657726
38,AWED,1,9.454963947824167
39,CALM,1,7.845526035390066
40,EXCITEMENT,1,7.639673981185918
41,ASTUTE,1,10.01457973575959
42,NEGOTIATOR,1,11.40087409687948
43,CONVERSATIONS,1,10.01457973575959
44,DIVANS,1,11.40087409687948
45,COSTLY,1,8.761816767264222
46,PETS,1,11.40087409687948
47,EUROPEAN,1,8.835924739417944
48,DESULTORY,1,9.791436184445379
49,WARFARE,1,10.01457973575959
50,ARABS,1,8.510502338983315
51,NOSTRILS,1,9.609114627651426
52,PROUD,1,7.181366391703373
53,ASIDE,1,7.430582183327358
54,STATE,1,7.057068675025796
55,HELPLESS,1,8.26537988095033
56,RETURN,1,6.67348627816714
57,EVERYDAY,1,10.707726916319535
58,COIN,1,8.91596744709148
59,STAYED,1,8.45643511771304
60,ROUGH,1,8.18199827201128
61,WRAPPING,1,10.707726916319535
62,GUNPOWDER,1,8.761816767264222
63,SMUGGLING,1,10.30226180821137
64,INVESTIGATION,1,10.707726916319535
65,PLOTTINGS,1,10.707726916319535
66,RESOLUTELY,1,9.791436184445379
