,collocate,raw_frequency,MI
0,ARM,1,4.6367386878880925
1,HUGE,1,5.666358105069251
2,TAWNY,1,7.681261125611516
3,MASTIFF,1,8.37440830617146
4,BE,1,1.5033170115609154
5,PUT,1,3.8857719364393213
6,COLLAR,1,6.988113945051571
7,MOST,1,3.4327658835621566
8,NATURAL,1,5.42996932700502
9,PLEASED,1,4.908672403371734
10,GRIM,1,5.7353509765562025
11,FEAR,1,4.940421101686315
12,EITHER,1,5.541194962115245
13,CEDRIC,1,3.250444326768202
14,TALL,1,5.15553248130326
15,TAKEN,1,4.545766909682366
16,ITS,1,3.003770278043798
17,PLACE,1,4.097742187155406
18,THERE,1,2.145897302580278
19,SOLEMN,1,5.889501656383461
20,SEEMED,1,3.2684628322708806
21,FEEL,1,4.00496045370444
22,OLD,1,3.1759112749056353
23,KNEW,1,3.612234371373705
24,WATCHED,1,4.819060244682047
25,INTEREST,1,4.385424259607187
26,WHOSE,1,4.296870862265742
27,MAKE,1,3.6208181150650964
28,THIS,1,2.027019096515451
29,MOMENT,1,4.154900600995354
30,GAVE,1,3.9435915073281476
31,LORD,1,3.1379663433415117
32,FAUNTLEROY,1,2.7759863471730863
33,FEARLESS,1,6.428498157116148
34,EVEN,1,3.425648415793293
35,MOMENTS,1,5.7353509765562025
36,THEY,1,2.041128678031771
37,TELL,1,3.461753420435409
38,ME,1,1.2572028030071167
39,STALKED,1,6.988113945051571
40,SLOWLY,1,4.5902186722532
41,THEM,1,2.4555144518983147
42,FOOTMAN,1,5.283365852813145
43,FEW,1,3.454427380343336
44,STROKED,1,6.988113945051571
45,EARS,1,5.541194962115245
46,SILENCE,1,4.524260704461402
47,POCKET,1,5.60181958393168
48,LAID,1,4.710846660041815
49,FRIEND,1,3.7300174070300884
50,SLEEPING,1,6.0718232131774155
51,BIT,1,5.809458948709924
52,THINGS,1,3.3055041039512294
53,STABLES,1,6.582648836943406
54,ATTEND,1,6.177183728835241
55,CART,1,7.275796017503351
