,collocate,raw_frequency,MI
0,HAZE,1,7.430582183327358
1,TABLE,1,4.198461131709137
2,LOADED,1,6.657392295093876
3,GREAT,1,2.9898936360048904
4,ROAR,1,6.449752930315632
5,UNHEEDING,1,8.529194471995467
6,IT,1,0.4918128508160516
7,SET,1,4.09244293763234
8,HEAVY,1,4.779690396065097
9,CANOPY,1,7.430582183327358
10,REFLECTED,1,5.756605749755686
11,GLARE,1,6.514291451453203
12,ROUND,1,3.364408498071954
13,STOCKADE,1,7.025117075219193
14,FIRING,1,7.836047291435523
15,STUPOR,1,7.430582183327358
16,HABITUAL,1,7.612903740121313
17,TOTTERING,1,7.612903740121313
18,SHED,1,5.788354448070267
19,ITS,1,2.96276018849049
20,WARBLING,1,7.836047291435523
21,SOFT,1,5.233357605991139
22,ODOROUS,1,7.836047291435523
23,MRS,1,3.880007400590602
24,BACK,1,2.9033735388089785
25,BEAMS,1,6.5832843229401545
26,BLACKENED,1,7.836047291435523
27,MANY,1,3.396341545174963
28,TORCHES,1,6.824446379757043
29,FLUTED,1,8.529194471995467
30,INTO,1,2.44583466018323
31,COOL,1,5.695981127939252
32,AIR,1,4.001985827477088
33,REACH,1,5.415679162785093
34,SLIGHT,1,4.791524853712099
35,PUFF,1,7.2764315035001
36,APPEARED,1,4.549512818093507
37,STAIN,1,7.025117075219193
38,O,1,4.191903731162977
39,SEVERAL,1,5.111467788382102
40,SOUND,1,4.57795075341404
41,AGAIN,1,2.9438202283895687
42,RUSHED,1,5.695981127939252
43,THICKER,1,7.612903740121313
44,WOOD,1,6.003465827687212
45,CAUGHT,1,4.75643353390083
46,ALIGHT,1,7.430582183327358
47,VANISHED,1,5.8211442708932575
48,BRIGHT,1,4.904853539019102
49,THICK,1,5.533462198441477
50,VOLUMES,1,7.142900110875577
51,ESCAPED,1,5.8211442708932575
52,WHIFF,1,7.612903740121313
53,ACRID,1,8.123729363887303
54,COOKING,1,6.657392295093876
55,FIRES,1,6.17781921483199
56,SAW,1,3.3197083191540466
57,STREAM,1,5.584755492829028
58,COME,1,2.78779513376796
59,KEYHOLE,1,9.222341652555412
60,HOUSE,1,2.99383064896423
61,QUICK,1,4.9318822114070215
62,BURST,1,5.4611415368618506
63,CREVICES,1,8.529194471995467
64,RUSH,1,5.855045822568939
65,DROVE,1,5.4846720342720445
66,CHOKED,1,7.142900110875577
67,PURSUED,1,6.17781921483199
68,HIM,1,1.2209866267287108
69,SUNSHINE,1,5.855045822568939
70,ASCENDED,1,6.086847436626264
71,STRAIGHT,1,4.904853539019102
72,LAST,1,3.220926774594263
73,MONTH,1,5.393700256066318
74,THEY,1,1.5334283156906174
75,BOTH,1,3.8332699227389124
76,ADDED,1,4.700553075506373
77,ALI,1,5.271097933973985
78,PHEW,1,8.529194471995467
79,VOICE,1,3.4634398786781326
80,PRETTY,1,4.558902558443346
81,FAR,1,3.7417027292134217
82,GONE,1,3.8563656375335618
83,HO,1,8.123729363887303
84,PLENTY,1,5.890137142380209
85,NO,1,1.7751732929553727
86,CONCLUDED,1,6.331969894659248
87,HIGH,1,4.238735030847077
88,STEP,1,4.700553075506373
89,WHILE,1,3.311545008514886
90,FORD,1,5.855045822568939
91,SETTEE,1,9.222341652555412
92,BEFORE,1,2.7031943646150176
93,BEGAN,1,3.9140739551542083
94,WHAT,1,1.9464770520088805
95,ASKED,1,3.5119146351805437
96,BUCCANEER,1,5.351140641647523
97,STOOD,1,3.426283901790041
98,INJURED,1,6.449752930315632
99,EXCEPT,1,4.617171466567322
100,SMELL,1,6.331969894659248
101,TAR,1,9.222341652555412
102,BATTLE,1,5.788354448070267
103,EVERY,1,3.5839869832216675
104,ENGLISH,1,4.069050058057634
105,BOY,1,4.001985827477088
106,DISPOSITION,1,6.003465827687212
107,TRIPPED,1,7.612903740121313
108,FEMININE,1,5.533462198441477
109,PERFUMERY,1,9.222341652555412
110,CHATTER,1,6.824446379757043
111,LAUGHTER,1,5.215008467322942
112,TOLD,1,3.771303198989713
113,P,1,8.529194471995467
114,GIANT,1,6.657392295093876
115,ALL,1,1.6940098858481663
116,RIGHT,1,3.562859436795792
117,ANSWERED,1,4.023844621289587
118,HAT,1,5.438152018637152
